"order_number","new_discount_rate","discount_rate_application"
"11018","5%","APPLY_NEW_DISCOUNT_RATE"
"10286","5%","APPLY_OLD_DISCOUNT_RATE"
"10633","5%","APPLY_OLD_DISCOUNT_RATE"
"10439","0%","APPLY_OLD_DISCOUNT_RATE"
"10260","0%","APPLY_OLD_DISCOUNT_RATE"
"10566","5%","APPLY_OLD_DISCOUNT_RATE"
"10401","5%","APPLY_OLD_DISCOUNT_RATE"
"10292","5%","APPLY_OLD_DISCOUNT_RATE"
"10650","0%","APPLY_OLD_DISCOUNT_RATE"
"10328","0%","APPLY_OLD_DISCOUNT_RATE"
"10861","5%","APPLY_OLD_DISCOUNT_RATE"
"10680","5%","APPLY_OLD_DISCOUNT_RATE"
"10396","5%","APPLY_OLD_DISCOUNT_RATE"
"11071","5%","APPLY_NEW_DISCOUNT_RATE"
"10628","5%","APPLY_OLD_DISCOUNT_RATE"
"10587","0%","APPLY_OLD_DISCOUNT_RATE"
"10638","0%","APPLY_OLD_DISCOUNT_RATE"
"10455","5%","APPLY_OLD_DISCOUNT_RATE"
"10999","5%","APPLY_OLD_DISCOUNT_RATE"
"11068","5%","APPLY_NEW_DISCOUNT_RATE"
"10560","5%","APPLY_OLD_DISCOUNT_RATE"
"10454","0%","APPLY_OLD_DISCOUNT_RATE"
"10329","10%","APPLY_OLD_DISCOUNT_RATE"
"10534","0%","APPLY_OLD_DISCOUNT_RATE"
"10654","0%","APPLY_OLD_DISCOUNT_RATE"
"10506","0%","APPLY_OLD_DISCOUNT_RATE"
"10605","0%","APPLY_OLD_DISCOUNT_RATE"
"10691","5%","APPLY_OLD_DISCOUNT_RATE"
"10791","0%","APPLY_OLD_DISCOUNT_RATE"
"10664","5%","APPLY_OLD_DISCOUNT_RATE"
"10413","5%","APPLY_OLD_DISCOUNT_RATE"
"10657","0%","APPLY_OLD_DISCOUNT_RATE"
"10599","5%","APPLY_OLD_DISCOUNT_RATE"
"10455","0%","APPLY_OLD_DISCOUNT_RATE"
"11015","0%","APPLY_NEW_DISCOUNT_RATE"
"10975","0%","APPLY_OLD_DISCOUNT_RATE"
"10951","0%","APPLY_OLD_DISCOUNT_RATE"
"10484","0%","APPLY_OLD_DISCOUNT_RATE"
"10445","0%","APPLY_OLD_DISCOUNT_RATE"
"10502","0%","APPLY_OLD_DISCOUNT_RATE"
"10666","10%","APPLY_OLD_DISCOUNT_RATE"
"10978","5%","APPLY_OLD_DISCOUNT_RATE"
"10840","0%","APPLY_OLD_DISCOUNT_RATE"
"10842","0%","APPLY_OLD_DISCOUNT_RATE"
"10822","0%","APPLY_OLD_DISCOUNT_RATE"
"10664","0%","APPLY_OLD_DISCOUNT_RATE"
"10924","5%","APPLY_OLD_DISCOUNT_RATE"
"10572","0%","APPLY_OLD_DISCOUNT_RATE"
"11054","0%","APPLY_NEW_DISCOUNT_RATE"
"10846","0%","APPLY_OLD_DISCOUNT_RATE"
"10777","0%","APPLY_OLD_DISCOUNT_RATE"
"10700","5%","APPLY_OLD_DISCOUNT_RATE"
"10662","0%","APPLY_OLD_DISCOUNT_RATE"
"10678","10%","APPLY_OLD_DISCOUNT_RATE"
"10745","0%","APPLY_OLD_DISCOUNT_RATE"
"10744","5%","APPLY_OLD_DISCOUNT_RATE"
"10497","5%","APPLY_OLD_DISCOUNT_RATE"
"10572","5%","APPLY_OLD_DISCOUNT_RATE"
"10568","0%","APPLY_OLD_DISCOUNT_RATE"
"10471","5%","APPLY_OLD_DISCOUNT_RATE"
"10836","10%","APPLY_OLD_DISCOUNT_RATE"
"10672","0%","APPLY_OLD_DISCOUNT_RATE"
"10335","0%","APPLY_OLD_DISCOUNT_RATE"
"10665","5%","APPLY_OLD_DISCOUNT_RATE"
"10357","5%","APPLY_OLD_DISCOUNT_RATE"
"10541","5%","APPLY_OLD_DISCOUNT_RATE"
"10576","5%","APPLY_OLD_DISCOUNT_RATE"
"10838","0%","APPLY_OLD_DISCOUNT_RATE"
"10253","0%","APPLY_OLD_DISCOUNT_RATE"
"10845","5%","APPLY_OLD_DISCOUNT_RATE"
"10642","0%","APPLY_OLD_DISCOUNT_RATE"
"10451","5%","APPLY_OLD_DISCOUNT_RATE"
"10339","0%","APPLY_OLD_DISCOUNT_RATE"
"10825","0%","APPLY_OLD_DISCOUNT_RATE"
"10273","5%","APPLY_OLD_DISCOUNT_RATE"
"10912","5%","APPLY_OLD_DISCOUNT_RATE"
"10891","0%","APPLY_OLD_DISCOUNT_RATE"
"10887","0%","APPLY_OLD_DISCOUNT_RATE"
"10966","0%","APPLY_OLD_DISCOUNT_RATE"
"10374","0%","APPLY_OLD_DISCOUNT_RATE"
"11064","5%","APPLY_NEW_DISCOUNT_RATE"
"10682","0%","APPLY_OLD_DISCOUNT_RATE"
"10296","0%","APPLY_OLD_DISCOUNT_RATE"
"10338","5%","APPLY_OLD_DISCOUNT_RATE"
"10695","0%","APPLY_OLD_DISCOUNT_RATE"
"10293","0%","APPLY_OLD_DISCOUNT_RATE"
"11016","0%","APPLY_NEW_DISCOUNT_RATE"
"10378","0%","APPLY_OLD_DISCOUNT_RATE"
"11056","5%","APPLY_NEW_DISCOUNT_RATE"
"11076","5%","APPLY_NEW_DISCOUNT_RATE"
"10331","0%","APPLY_OLD_DISCOUNT_RATE"
"10706","0%","APPLY_OLD_DISCOUNT_RATE"
"10623","0%","APPLY_OLD_DISCOUNT_RATE"
"10940","0%","APPLY_OLD_DISCOUNT_RATE"
"11077","5%","APPLY_NEW_DISCOUNT_RATE"
"11036","5%","APPLY_NEW_DISCOUNT_RATE"
"10702","0%","APPLY_OLD_DISCOUNT_RATE"
"10968","5%","APPLY_OLD_DISCOUNT_RATE"
"10668","0%","APPLY_OLD_DISCOUNT_RATE"
"10678","0%","APPLY_OLD_DISCOUNT_RATE"
"10894","5%","APPLY_OLD_DISCOUNT_RATE"
"10811","0%","APPLY_OLD_DISCOUNT_RATE"
"10642","5%","APPLY_OLD_DISCOUNT_RATE"
"10386","0%","APPLY_OLD_DISCOUNT_RATE"
"10687","5%","APPLY_OLD_DISCOUNT_RATE"
"10885","0%","APPLY_OLD_DISCOUNT_RATE"
"10871","5%","APPLY_OLD_DISCOUNT_RATE"
"10640","5%","APPLY_OLD_DISCOUNT_RATE"
"10396","0%","APPLY_OLD_DISCOUNT_RATE"
"10453","0%","APPLY_OLD_DISCOUNT_RATE"
"10251","0%","APPLY_OLD_DISCOUNT_RATE"
"10793","0%","APPLY_OLD_DISCOUNT_RATE"
"11017","10%","APPLY_NEW_DISCOUNT_RATE"
"10989","5%","APPLY_OLD_DISCOUNT_RATE"
"10684","5%","APPLY_OLD_DISCOUNT_RATE"
"10834","5%","APPLY_OLD_DISCOUNT_RATE"
"11063","0%","APPLY_NEW_DISCOUNT_RATE"
"10859","5%","APPLY_OLD_DISCOUNT_RATE"
"10619","5%","APPLY_OLD_DISCOUNT_RATE"
"10895","5%","APPLY_OLD_DISCOUNT_RATE"
"10295","0%","APPLY_OLD_DISCOUNT_RATE"
"11038","5%","APPLY_NEW_DISCOUNT_RATE"
"10306","0%","APPLY_OLD_DISCOUNT_RATE"
"10473","0%","APPLY_OLD_DISCOUNT_RATE"
"10779","0%","APPLY_OLD_DISCOUNT_RATE"
"10867","0%","APPLY_OLD_DISCOUNT_RATE"
"10517","0%","APPLY_OLD_DISCOUNT_RATE"
"10765","5%","APPLY_OLD_DISCOUNT_RATE"
"10573","5%","APPLY_OLD_DISCOUNT_RATE"
"10371","0%","APPLY_OLD_DISCOUNT_RATE"
"10500","0%","APPLY_OLD_DISCOUNT_RATE"
"10558","0%","APPLY_OLD_DISCOUNT_RATE"
"10959","0%","APPLY_OLD_DISCOUNT_RATE"
"10465","0%","APPLY_OLD_DISCOUNT_RATE"
"10362","5%","APPLY_OLD_DISCOUNT_RATE"
"11072","0%","APPLY_NEW_DISCOUNT_RATE"
"10820","5%","APPLY_OLD_DISCOUNT_RATE"
"10363","0%","APPLY_OLD_DISCOUNT_RATE"
"10745","5%","APPLY_OLD_DISCOUNT_RATE"
"10626","5%","APPLY_OLD_DISCOUNT_RATE"
"10789","0%","APPLY_OLD_DISCOUNT_RATE"
"10706","5%","APPLY_OLD_DISCOUNT_RATE"
"10756","5%","APPLY_OLD_DISCOUNT_RATE"
"10359","10%","APPLY_OLD_DISCOUNT_RATE"
"10447","0%","APPLY_OLD_DISCOUNT_RATE"
"10440","10%","APPLY_OLD_DISCOUNT_RATE"
"10442","5%","APPLY_OLD_DISCOUNT_RATE"
"10551","0%","APPLY_OLD_DISCOUNT_RATE"
"10597","0%","APPLY_OLD_DISCOUNT_RATE"
"10346","5%","APPLY_OLD_DISCOUNT_RATE"
"10947","0%","APPLY_OLD_DISCOUNT_RATE"
"10824","0%","APPLY_OLD_DISCOUNT_RATE"
"10750","5%","APPLY_OLD_DISCOUNT_RATE"
"10939","0%","APPLY_OLD_DISCOUNT_RATE"
"10343","0%","APPLY_OLD_DISCOUNT_RATE"
"10570","10%","APPLY_OLD_DISCOUNT_RATE"
"10254","5%","APPLY_OLD_DISCOUNT_RATE"
"11060","0%","APPLY_NEW_DISCOUNT_RATE"
"10768","0%","APPLY_OLD_DISCOUNT_RATE"
"10679","5%","APPLY_OLD_DISCOUNT_RATE"
"10890","0%","APPLY_OLD_DISCOUNT_RATE"
"10434","0%","APPLY_OLD_DISCOUNT_RATE"
"10709","0%","APPLY_OLD_DISCOUNT_RATE"
"10691","10%","APPLY_OLD_DISCOUNT_RATE"
"10680","0%","APPLY_OLD_DISCOUNT_RATE"
"10611","0%","APPLY_OLD_DISCOUNT_RATE"
"10941","5%","APPLY_OLD_DISCOUNT_RATE"
"10368","0%","APPLY_OLD_DISCOUNT_RATE"
"10327","5%","APPLY_OLD_DISCOUNT_RATE"
"10701","5%","APPLY_OLD_DISCOUNT_RATE"
"10485","0%","APPLY_OLD_DISCOUNT_RATE"
"10336","0%","APPLY_OLD_DISCOUNT_RATE"
"10600","0%","APPLY_OLD_DISCOUNT_RATE"
"10831","0%","APPLY_OLD_DISCOUNT_RATE"
"10675","0%","APPLY_OLD_DISCOUNT_RATE"
"10787","0%","APPLY_OLD_DISCOUNT_RATE"
"10766","5%","APPLY_OLD_DISCOUNT_RATE"
"10368","5%","APPLY_OLD_DISCOUNT_RATE"
"10441","5%","APPLY_OLD_DISCOUNT_RATE"
"10872","0%","APPLY_OLD_DISCOUNT_RATE"
"10576","0%","APPLY_OLD_DISCOUNT_RATE"
"11072","10%","APPLY_NEW_DISCOUNT_RATE"
"10503","5%","APPLY_OLD_DISCOUNT_RATE"
"10287","0%","APPLY_OLD_DISCOUNT_RATE"
"11030","10%","APPLY_NEW_DISCOUNT_RATE"
"10789","5%","APPLY_OLD_DISCOUNT_RATE"
"10678","5%","APPLY_OLD_DISCOUNT_RATE"
"11068","0%","APPLY_NEW_DISCOUNT_RATE"
"10769","0%","APPLY_OLD_DISCOUNT_RATE"
"11036","0%","APPLY_NEW_DISCOUNT_RATE"
"11010","0%","APPLY_NEW_DISCOUNT_RATE"
"10906","5%","APPLY_OLD_DISCOUNT_RATE"
"10410","0%","APPLY_OLD_DISCOUNT_RATE"
"10752","0%","APPLY_OLD_DISCOUNT_RATE"
"10464","5%","APPLY_OLD_DISCOUNT_RATE"
"10450","0%","APPLY_OLD_DISCOUNT_RATE"
"10504","5%","APPLY_OLD_DISCOUNT_RATE"
"10325","5%","APPLY_OLD_DISCOUNT_RATE"
"10626","0%","APPLY_OLD_DISCOUNT_RATE"
"10826","5%","APPLY_OLD_DISCOUNT_RATE"
"11041","5%","APPLY_NEW_DISCOUNT_RATE"
"10821","0%","APPLY_OLD_DISCOUNT_RATE"
"10623","5%","APPLY_OLD_DISCOUNT_RATE"
"11063","5%","APPLY_NEW_DISCOUNT_RATE"
"10957","0%","APPLY_OLD_DISCOUNT_RATE"
"10554","0%","APPLY_OLD_DISCOUNT_RATE"
"10564","0%","APPLY_OLD_DISCOUNT_RATE"
"10713","0%","APPLY_OLD_DISCOUNT_RATE"
"10717","5%","APPLY_OLD_DISCOUNT_RATE"
"10879","0%","APPLY_OLD_DISCOUNT_RATE"
"10558","5%","APPLY_OLD_DISCOUNT_RATE"
"10698","0%","APPLY_OLD_DISCOUNT_RATE"
"11007","5%","APPLY_NEW_DISCOUNT_RATE"
"10685","0%","APPLY_OLD_DISCOUNT_RATE"
"11043","0%","APPLY_NEW_DISCOUNT_RATE"
"10601","0%","APPLY_OLD_DISCOUNT_RATE"
"11002","5%","APPLY_NEW_DISCOUNT_RATE"
"10309","0%","APPLY_OLD_DISCOUNT_RATE"
"10948","0%","APPLY_OLD_DISCOUNT_RATE"
"10278","0%","APPLY_OLD_DISCOUNT_RATE"
"11058","0%","APPLY_NEW_DISCOUNT_RATE"
"10835","5%","APPLY_OLD_DISCOUNT_RATE"
"10772","5%","APPLY_OLD_DISCOUNT_RATE"
"10595","5%","APPLY_OLD_DISCOUNT_RATE"
"10735","5%","APPLY_OLD_DISCOUNT_RATE"
"10875","0%","APPLY_OLD_DISCOUNT_RATE"
"11009","0%","APPLY_NEW_DISCOUNT_RATE"
"10294","0%","APPLY_OLD_DISCOUNT_RATE"
"11008","10%","APPLY_NEW_DISCOUNT_RATE"
"10999","0%","APPLY_OLD_DISCOUNT_RATE"
"10986","0%","APPLY_OLD_DISCOUNT_RATE"
"10298","5%","APPLY_OLD_DISCOUNT_RATE"
"10838","5%","APPLY_OLD_DISCOUNT_RATE"
"10451","10%","APPLY_OLD_DISCOUNT_RATE"
"10300","0%","APPLY_OLD_DISCOUNT_RATE"
"10901","0%","APPLY_OLD_DISCOUNT_RATE"
"10651","5%","APPLY_OLD_DISCOUNT_RATE"
"10832","0%","APPLY_OLD_DISCOUNT_RATE"
"10792","0%","APPLY_OLD_DISCOUNT_RATE"
"10835","0%","APPLY_OLD_DISCOUNT_RATE"
"10638","10%","APPLY_OLD_DISCOUNT_RATE"
"11021","5%","APPLY_NEW_DISCOUNT_RATE"
"11042","0%","APPLY_NEW_DISCOUNT_RATE"
"10296","5%","APPLY_OLD_DISCOUNT_RATE"
"10942","5%","APPLY_OLD_DISCOUNT_RATE"
"10529","0%","APPLY_OLD_DISCOUNT_RATE"
"10661","0%","APPLY_OLD_DISCOUNT_RATE"
"10379","0%","APPLY_OLD_DISCOUNT_RATE"
"11034","0%","APPLY_NEW_DISCOUNT_RATE"
"10961","0%","APPLY_OLD_DISCOUNT_RATE"
"10816","10%","APPLY_OLD_DISCOUNT_RATE"
"10603","5%","APPLY_OLD_DISCOUNT_RATE"
"10635","0%","APPLY_OLD_DISCOUNT_RATE"
"10314","5%","APPLY_OLD_DISCOUNT_RATE"
"10726","0%","APPLY_OLD_DISCOUNT_RATE"
"10715","5%","APPLY_OLD_DISCOUNT_RATE"
"10711","5%","APPLY_OLD_DISCOUNT_RATE"
"10851","10%","APPLY_OLD_DISCOUNT_RATE"
"10734","0%","APPLY_OLD_DISCOUNT_RATE"
"10523","5%","APPLY_OLD_DISCOUNT_RATE"
"10973","0%","APPLY_OLD_DISCOUNT_RATE"
"10839","0%","APPLY_OLD_DISCOUNT_RATE"
"10260","5%","APPLY_OLD_DISCOUNT_RATE"
"10759","0%","APPLY_OLD_DISCOUNT_RATE"
"10358","0%","APPLY_OLD_DISCOUNT_RATE"
"10341","0%","APPLY_OLD_DISCOUNT_RATE"
"11031","5%","APPLY_NEW_DISCOUNT_RATE"
"10955","0%","APPLY_OLD_DISCOUNT_RATE"
"10463","5%","APPLY_OLD_DISCOUNT_RATE"
"10927","0%","APPLY_OLD_DISCOUNT_RATE"
"10491","0%","APPLY_OLD_DISCOUNT_RATE"
"10778","0%","APPLY_OLD_DISCOUNT_RATE"
"10479","5%","APPLY_OLD_DISCOUNT_RATE"
"10511","0%","APPLY_OLD_DISCOUNT_RATE"
"10494","5%","APPLY_OLD_DISCOUNT_RATE"
"10265","0%","APPLY_OLD_DISCOUNT_RATE"
"10253","5%","APPLY_OLD_DISCOUNT_RATE"
"11022","0%","APPLY_NEW_DISCOUNT_RATE"
"10719","0%","APPLY_OLD_DISCOUNT_RATE"
"10966","5%","APPLY_OLD_DISCOUNT_RATE"
"10980","0%","APPLY_OLD_DISCOUNT_RATE"
"10634","5%","APPLY_OLD_DISCOUNT_RATE"
"10760","0%","APPLY_OLD_DISCOUNT_RATE"
"10711","0%","APPLY_OLD_DISCOUNT_RATE"
"10649","5%","APPLY_OLD_DISCOUNT_RATE"
"11000","0%","APPLY_NEW_DISCOUNT_RATE"
"10918","5%","APPLY_OLD_DISCOUNT_RATE"
"10252","5%","APPLY_OLD_DISCOUNT_RATE"
"10424","0%","APPLY_OLD_DISCOUNT_RATE"
"10588","5%","APPLY_OLD_DISCOUNT_RATE"
"10964","5%","APPLY_OLD_DISCOUNT_RATE"
"10316","0%","APPLY_OLD_DISCOUNT_RATE"
"10909","0%","APPLY_OLD_DISCOUNT_RATE"
"10841","10%","APPLY_OLD_DISCOUNT_RATE"
"10946","0%","APPLY_OLD_DISCOUNT_RATE"
"10848","5%","APPLY_OLD_DISCOUNT_RATE"
"10364","5%","APPLY_OLD_DISCOUNT_RATE"
"10610","0%","APPLY_OLD_DISCOUNT_RATE"
"10475","5%","APPLY_OLD_DISCOUNT_RATE"
"10380","0%","APPLY_OLD_DISCOUNT_RATE"
"10937","0%","APPLY_OLD_DISCOUNT_RATE"
"10551","5%","APPLY_OLD_DISCOUNT_RATE"
"10291","0%","APPLY_OLD_DISCOUNT_RATE"
"10492","0%","APPLY_OLD_DISCOUNT_RATE"
"10472","0%","APPLY_OLD_DISCOUNT_RATE"
"10764","10%","APPLY_OLD_DISCOUNT_RATE"
"10544","0%","APPLY_OLD_DISCOUNT_RATE"
"10613","0%","APPLY_OLD_DISCOUNT_RATE"
"10751","5%","APPLY_OLD_DISCOUNT_RATE"
"10509","0%","APPLY_OLD_DISCOUNT_RATE"
"11052","5%","APPLY_NEW_DISCOUNT_RATE"
"10987","0%","APPLY_OLD_DISCOUNT_RATE"
"10268","0%","APPLY_OLD_DISCOUNT_RATE"
"10979","5%","APPLY_OLD_DISCOUNT_RATE"
"10780","5%","APPLY_OLD_DISCOUNT_RATE"
"10421","0%","APPLY_OLD_DISCOUNT_RATE"
"11067","0%","APPLY_NEW_DISCOUNT_RATE"
"11066","5%","APPLY_NEW_DISCOUNT_RATE"
"10326","0%","APPLY_OLD_DISCOUNT_RATE"
"11006","0%","APPLY_NEW_DISCOUNT_RATE"
"10490","10%","APPLY_OLD_DISCOUNT_RATE"
"10356","0%","APPLY_OLD_DISCOUNT_RATE"
"10823","10%","APPLY_OLD_DISCOUNT_RATE"
"10732","0%","APPLY_OLD_DISCOUNT_RATE"
"11001","0%","APPLY_NEW_DISCOUNT_RATE"
"10644","5%","APPLY_OLD_DISCOUNT_RATE"
"10497","0%","APPLY_OLD_DISCOUNT_RATE"
"10250","0%","APPLY_OLD_DISCOUNT_RATE"
"10686","5%","APPLY_OLD_DISCOUNT_RATE"
"10416","0%","APPLY_OLD_DISCOUNT_RATE"
"10904","5%","APPLY_OLD_DISCOUNT_RATE"
"10263","5%","APPLY_OLD_DISCOUNT_RATE"
"11076","0%","APPLY_NEW_DISCOUNT_RATE"
"10949","5%","APPLY_OLD_DISCOUNT_RATE"
"10718","0%","APPLY_OLD_DISCOUNT_RATE"
"10340","5%","APPLY_OLD_DISCOUNT_RATE"
"11032","5%","APPLY_NEW_DISCOUNT_RATE"
"10753","0%","APPLY_OLD_DISCOUNT_RATE"
"10351","5%","APPLY_OLD_DISCOUNT_RATE"
"10967","0%","APPLY_OLD_DISCOUNT_RATE"
"10923","0%","APPLY_OLD_DISCOUNT_RATE"
"10541","0%","APPLY_OLD_DISCOUNT_RATE"
"10957","5%","APPLY_OLD_DISCOUNT_RATE"
"10858","5%","APPLY_OLD_DISCOUNT_RATE"
"10670","5%","APPLY_OLD_DISCOUNT_RATE"
"10827","0%","APPLY_OLD_DISCOUNT_RATE"
"10727","5%","APPLY_OLD_DISCOUNT_RATE"
"10774","5%","APPLY_OLD_DISCOUNT_RATE"
"11028","5%","APPLY_NEW_DISCOUNT_RATE"
"10676","5%","APPLY_OLD_DISCOUNT_RATE"
"11030","5%","APPLY_NEW_DISCOUNT_RATE"
"10866","5%","APPLY_OLD_DISCOUNT_RATE"
"10430","10%","APPLY_OLD_DISCOUNT_RATE"
"10640","0%","APPLY_OLD_DISCOUNT_RATE"
"10803","0%","APPLY_OLD_DISCOUNT_RATE"
"10651","0%","APPLY_OLD_DISCOUNT_RATE"
"10739","0%","APPLY_OLD_DISCOUNT_RATE"
"10870","0%","APPLY_OLD_DISCOUNT_RATE"
"10736","0%","APPLY_OLD_DISCOUNT_RATE"
"10345","0%","APPLY_OLD_DISCOUNT_RATE"
"10288","0%","APPLY_OLD_DISCOUNT_RATE"
"10855","5%","APPLY_OLD_DISCOUNT_RATE"
"10954","0%","APPLY_OLD_DISCOUNT_RATE"
"10791","5%","APPLY_OLD_DISCOUNT_RATE"
"10609","0%","APPLY_OLD_DISCOUNT_RATE"
"11025","0%","APPLY_NEW_DISCOUNT_RATE"
"10696","0%","APPLY_OLD_DISCOUNT_RATE"
"10617","5%","APPLY_OLD_DISCOUNT_RATE"
"10917","0%","APPLY_OLD_DISCOUNT_RATE"
"10311","0%","APPLY_OLD_DISCOUNT_RATE"
"10479","10%","APPLY_OLD_DISCOUNT_RATE"
"10393","5%","APPLY_OLD_DISCOUNT_RATE"
"10320","5%","APPLY_OLD_DISCOUNT_RATE"
"10773","5%","APPLY_OLD_DISCOUNT_RATE"
"10432","0%","APPLY_OLD_DISCOUNT_RATE"
"10833","0%","APPLY_OLD_DISCOUNT_RATE"
"10677","0%","APPLY_OLD_DISCOUNT_RATE"
"10327","0%","APPLY_OLD_DISCOUNT_RATE"
"10788","0%","APPLY_OLD_DISCOUNT_RATE"
"10618","5%","APPLY_OLD_DISCOUNT_RATE"
"10984","5%","APPLY_OLD_DISCOUNT_RATE"
"10254","0%","APPLY_OLD_DISCOUNT_RATE"
"10335","10%","APPLY_OLD_DISCOUNT_RATE"
"10315","0%","APPLY_OLD_DISCOUNT_RATE"
"10888","0%","APPLY_OLD_DISCOUNT_RATE"
"10398","5%","APPLY_OLD_DISCOUNT_RATE"
"10365","5%","APPLY_OLD_DISCOUNT_RATE"
"10884","0%","APPLY_OLD_DISCOUNT_RATE"
"10481","5%","APPLY_OLD_DISCOUNT_RATE"
"10987","5%","APPLY_OLD_DISCOUNT_RATE"
"10964","0%","APPLY_OLD_DISCOUNT_RATE"
"10995","0%","APPLY_OLD_DISCOUNT_RATE"
"10449","5%","APPLY_OLD_DISCOUNT_RATE"
"10857","5%","APPLY_OLD_DISCOUNT_RATE"
"10661","5%","APPLY_OLD_DISCOUNT_RATE"
"10939","5%","APPLY_OLD_DISCOUNT_RATE"
"10591","0%","APPLY_OLD_DISCOUNT_RATE"
"10495","0%","APPLY_OLD_DISCOUNT_RATE"
"10747","5%","APPLY_OLD_DISCOUNT_RATE"
"10764","0%","APPLY_OLD_DISCOUNT_RATE"
"10250","5%","APPLY_OLD_DISCOUNT_RATE"
"10804","5%","APPLY_OLD_DISCOUNT_RATE"
"10983","5%","APPLY_OLD_DISCOUNT_RATE"
"10703","5%","APPLY_OLD_DISCOUNT_RATE"
"10359","5%","APPLY_OLD_DISCOUNT_RATE"
"10407","5%","APPLY_OLD_DISCOUNT_RATE"
"10645","0%","APPLY_OLD_DISCOUNT_RATE"
"10518","10%","APPLY_OLD_DISCOUNT_RATE"
"10468","0%","APPLY_OLD_DISCOUNT_RATE"
"10862","0%","APPLY_OLD_DISCOUNT_RATE"
"10850","5%","APPLY_OLD_DISCOUNT_RATE"
"10784","5%","APPLY_OLD_DISCOUNT_RATE"
"10726","5%","APPLY_OLD_DISCOUNT_RATE"
"10345","10%","APPLY_OLD_DISCOUNT_RATE"
"10405","0%","APPLY_OLD_DISCOUNT_RATE"
"10770","0%","APPLY_OLD_DISCOUNT_RATE"
"10519","0%","APPLY_OLD_DISCOUNT_RATE"
"10743","0%","APPLY_OLD_DISCOUNT_RATE"
"10665","0%","APPLY_OLD_DISCOUNT_RATE"
"10516","0%","APPLY_OLD_DISCOUNT_RATE"
"10256","0%","APPLY_OLD_DISCOUNT_RATE"
"10390","5%","APPLY_OLD_DISCOUNT_RATE"
"10493","0%","APPLY_OLD_DISCOUNT_RATE"
"10818","5%","APPLY_OLD_DISCOUNT_RATE"
"10269","5%","APPLY_OLD_DISCOUNT_RATE"
"10324","0%","APPLY_OLD_DISCOUNT_RATE"
"11029","5%","APPLY_NEW_DISCOUNT_RATE"
"10553","5%","APPLY_OLD_DISCOUNT_RATE"
"11053","5%","APPLY_NEW_DISCOUNT_RATE"
"10896","0%","APPLY_OLD_DISCOUNT_RATE"
"10734","5%","APPLY_OLD_DISCOUNT_RATE"
"10584","5%","APPLY_OLD_DISCOUNT_RATE"
"10526","0%","APPLY_OLD_DISCOUNT_RATE"
"10986","5%","APPLY_OLD_DISCOUNT_RATE"
"10920","0%","APPLY_OLD_DISCOUNT_RATE"
"10549","10%","APPLY_OLD_DISCOUNT_RATE"
"10607","0%","APPLY_OLD_DISCOUNT_RATE"
"10433","5%","APPLY_OLD_DISCOUNT_RATE"
"10351","0%","APPLY_OLD_DISCOUNT_RATE"
"10319","5%","APPLY_OLD_DISCOUNT_RATE"
"10461","0%","APPLY_OLD_DISCOUNT_RATE"
"10440","5%","APPLY_OLD_DISCOUNT_RATE"
"10876","0%","APPLY_OLD_DISCOUNT_RATE"
"10375","0%","APPLY_OLD_DISCOUNT_RATE"
"11004","0%","APPLY_NEW_DISCOUNT_RATE"
"10481","0%","APPLY_OLD_DISCOUNT_RATE"
"10632","5%","APPLY_OLD_DISCOUNT_RATE"
"10903","5%","APPLY_OLD_DISCOUNT_RATE"
"10712","5%","APPLY_OLD_DISCOUNT_RATE"
"10583","5%","APPLY_OLD_DISCOUNT_RATE"
"10919","5%","APPLY_OLD_DISCOUNT_RATE"
"10786","0%","APPLY_OLD_DISCOUNT_RATE"
"10913","0%","APPLY_OLD_DISCOUNT_RATE"
"10826","0%","APPLY_OLD_DISCOUNT_RATE"
"11027","5%","APPLY_NEW_DISCOUNT_RATE"
"10486","5%","APPLY_OLD_DISCOUNT_RATE"
"11038","0%","APPLY_NEW_DISCOUNT_RATE"
"10825","5%","APPLY_OLD_DISCOUNT_RATE"
"10748","5%","APPLY_OLD_DISCOUNT_RATE"
"10823","5%","APPLY_OLD_DISCOUNT_RATE"
"10839","5%","APPLY_OLD_DISCOUNT_RATE"
"10876","5%","APPLY_OLD_DISCOUNT_RATE"
"10641","5%","APPLY_OLD_DISCOUNT_RATE"
"10264","0%","APPLY_OLD_DISCOUNT_RATE"
"10859","0%","APPLY_OLD_DISCOUNT_RATE"
"10364","0%","APPLY_OLD_DISCOUNT_RATE"
"10513","0%","APPLY_OLD_DISCOUNT_RATE"
"11069","0%","APPLY_NEW_DISCOUNT_RATE"
"10801","10%","APPLY_OLD_DISCOUNT_RATE"
"10580","5%","APPLY_OLD_DISCOUNT_RATE"
"10290","0%","APPLY_OLD_DISCOUNT_RATE"
"11046","5%","APPLY_NEW_DISCOUNT_RATE"
"10869","0%","APPLY_OLD_DISCOUNT_RATE"
"10545","0%","APPLY_OLD_DISCOUNT_RATE"
"10401","10%","APPLY_OLD_DISCOUNT_RATE"
"10512","5%","APPLY_OLD_DISCOUNT_RATE"
"10729","0%","APPLY_OLD_DISCOUNT_RATE"
"10376","5%","APPLY_OLD_DISCOUNT_RATE"
"10659","5%","APPLY_OLD_DISCOUNT_RATE"
"10284","5%","APPLY_OLD_DISCOUNT_RATE"
"10900","0%","APPLY_OLD_DISCOUNT_RATE"
"10490","0%","APPLY_OLD_DISCOUNT_RATE"
